"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female","vote.score","speech.score","speech.score.lower","speech.score.upper","vote.score.normalized","speech.score.normalized"
"ms heitkamp",113,"Heidi","Heitkamp","ND","D","Heitkamp (ND)",108,"North Dakota",0,0,0,0,1,-0.658252172820224,-0.766639267574366,-1.45089950363747,-0.0265286729227447,-0.479337477205148,-1.34759916258833
"mr heller",112,"Dean","Heller","NV","R","Heller (NV)",109,"Nevada",0,0,1,0,0,1.03713716840357,0.473740482648023,-0.233529552943523,1.19201764331953,0.905641061695274,0.857059514770283
"mr helms",104,"Jesse","Helms","NC","R","Helms (NC)",110,"North Carolina",0,1,0,0,0,1.85945097954291,0.488798606868962,0.0332912875252865,0.940969321624898,1.57739648269333,0.883823918351109
"ms hirono",113,"Mazie","Hirono","HI","D","Hirono (HI)",111,"Hawaii",0,0,0,0,1,-1.69566978013135,-0.925493724602346,-1.68997066662314,-0.157625966665259,-1.32681309066288,-1.62994806183555
"mr hoeven",112,"John","Hoeven","ND","R","Hoeven (ND)",112,"North Dakota",0,0,0,0,0,0.806601295994286,0.063334759157887,-0.670203854056616,0.729202302823124,0.717314269748433,0.127601831050483
"mr hollings",104,"Ernest F.","Hollings","SC","D","Hollings (SC)",113,"South Carolina",0,0,0,0,0,-1.20403238959194,0.424074891671963,0.0588955254138763,0.779652151963886,-0.925190160600938,0.768783584683644
"mr hutchinson",105,"Tim","Hutchinson","AR","R","Hutchinson (AR)",114,"Arkansas",0,0,0,0,0,1.13803363020508,0.312643347687985,-0.119137703520369,0.769618164960119,0.988064273195005,0.570724465827746
"mrs hutchison",104,"Kathryn Ann Bailey","Hutchison","TX","R","Hutchison (TX)",115,"Texas",0,0,0,0,1,0.915677534430862,0.556552515115282,0.390059863036095,0.719534041284391,0.806419613084848,1.00425013597795
"mr inhofe",104,"James","Inhofe","OK","R","Inhofe (OK)",116,"Oklahoma",0,1,0,0,0,1.69870404810135,0.553549174713255,0.348716756970669,0.780938395886591,1.44608089350839,0.998911980080773
"mr inouye",104,"Daniel K.","Inouye","HI","D","Inouye (HI)",117,"Hawaii",0,0,0,0,0,-1.16257607106694,-0.595839617931925,-0.925794298791999,-0.256478562434512,-0.891324127553039,-1.0440188037454
