"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female"
"mr carper",107,"Tom","Carper","DE","D","Carper (DE)",41,"Delaware",0,0,0,0,0
"mr carper",108,"Tom","Carper","DE","D","Carper (DE)",41,"Delaware",0,0,0,0,0
"mr carper",109,"Tom","Carper","DE","D","Carper (DE)",41,"Delaware",0,1,0,0,0
"mr carper",110,"Tom","Carper","DE","D","Carper (DE)",41,"Delaware",0,0,0,0,0
"mr carper",111,"Tom","Carper","DE","D","Carper (DE)",41,"Delaware",0,0,0,0,0
"mr carper",112,"Tom","Carper","DE","D","Carper (DE)",41,"Delaware",0,1,0,0,0
"mr carper",113,"Tom","Carper","DE","D","Carper (DE)",41,"Delaware",0,0,0,0,0
"mr casey",110,"Robert","Casey","PA","D","Casey (PA)",42,"Pennsylvania",0,0,0,0,0
"mr casey",111,"Robert","Casey","PA","D","Casey (PA)",42,"Pennsylvania",0,0,0,0,0
"mr casey",112,"Robert","Casey","PA","D","Casey (PA)",42,"Pennsylvania",0,1,0,0,0
"mr casey",113,"Robert","Casey","PA","D","Casey (PA)",42,"Pennsylvania",0,0,0,0,0
"mr chafee",104,"John H.","Chafee","RI","R","Chafee (RI)",43,"Rhode Island",0,0,0,0,0
"mr chafee",105,"John H.","Chafee","RI","R","Chafee (RI)",43,"Rhode Island",0,0,0,0,0
"mr chafee",106,"Lincoln D.","Chafee","RI","R","Chafee (RI)",44,"Rhode Island",0,0,0,0,0
"mr chafee",107,"Lincoln D.","Chafee","RI","R","Chafee (RI)",44,"Rhode Island",0,0,0,0,0
"mr chafee",108,"Lincoln D.","Chafee","RI","R","Chafee (RI)",44,"Rhode Island",0,0,0,0,0
"mr chafee",109,"Lincoln D.","Chafee","RI","R","Chafee (RI)",44,"Rhode Island",0,1,0,0,0
"mr chambliss",108,"Saxby","Chambliss","GA","R","Chambliss (GA)",45,"Georgia",0,0,0,0,0
"mr chambliss",109,"Saxby","Chambliss","GA","R","Chambliss (GA)",45,"Georgia",0,0,0,0,0
"mr chambliss",110,"Saxby","Chambliss","GA","R","Chambliss (GA)",45,"Georgia",0,1,0,0,0
"mr chambliss",111,"Saxby","Chambliss","GA","R","Chambliss (GA)",45,"Georgia",0,0,0,0,0
"mr chambliss",112,"Saxby","Chambliss","GA","R","Chambliss (GA)",45,"Georgia",0,0,0,0,0
"mr chambliss",113,"Saxby","Chambliss","GA","R","Chambliss (GA)",45,"Georgia",0,1,0,0,0
"mr chiesa",113,"Jeffrey S.","Chiesa","NJ","R","Chiesa (NJ)",46,"New Jersey",0,0,0,0,0
"mr cleland",105,"Max","Cleland","GA","D","Cleland (GA)",47,"Georgia",0,0,0,0,0
"mr cleland",106,"Max","Cleland","GA","D","Cleland (GA)",47,"Georgia",0,0,0,0,0
"mr cleland",107,"Max","Cleland","GA","D","Cleland (GA)",47,"Georgia",0,1,0,0,0
"mrs clinton",107,"Hillary Rodham","Clinton","NY","D","Clinton (NY)",48,"New York",0,0,0,0,1
"mrs clinton",108,"Hillary Rodham","Clinton","NY","D","Clinton (NY)",48,"New York",0,0,0,0,1
"mrs clinton",109,"Hillary Rodham","Clinton","NY","D","Clinton (NY)",48,"New York",0,1,0,0,1
"mrs clinton",110,"Hillary Rodham","Clinton","NY","D","Clinton (NY)",48,"New York",0,0,0,0,1
"mrs clinton",111,"Hillary Rodham","Clinton","NY","D","Clinton (NY)",48,"New York",0,0,0,0,1
"mr coats",104,"Daniel","Coats","IN","R","Coats (IN)",49,"Indiana",0,0,0,0,0
"mr coats",105,"Daniel","Coats","IN","R","Coats (IN)",49,"Indiana",1,0,0,0,0
"mr coats",112,"Daniel","Coats","IN","R","Coats (IN)",49,"Indiana",0,0,0,0,0
"mr coats",113,"Daniel","Coats","IN","R","Coats (IN)",49,"Indiana",0,0,0,0,0
"mr coburn",109,"Tom","Coburn","OK","R","Coburn (OK)",50,"Oklahoma",0,0,0,0,0
"mr coburn",110,"Tom","Coburn","OK","R","Coburn (OK)",50,"Oklahoma",0,0,0,0,0
"mr coburn",111,"Tom","Coburn","OK","R","Coburn (OK)",50,"Oklahoma",0,1,0,0,0
"mr coburn",112,"Tom","Coburn","OK","R","Coburn (OK)",50,"Oklahoma",0,0,0,0,0
"mr coburn",113,"Tom","Coburn","OK","R","Coburn (OK)",50,"Oklahoma",1,0,0,0,0
"mr cochran",104,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,1,0,0,0
"mr cochran",105,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,0,0,0,0
"mr cochran",106,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,0,0,0,0
"mr cochran",107,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,1,0,0,0
"mr cochran",108,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,0,0,0,0
"mr cochran",109,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,0,0,0,0
"mr cochran",110,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,1,0,0,0
"mr cochran",111,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,0,0,0,0
"mr cochran",112,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,0,0,0,0
"mr cochran",113,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,1,0,0,0
"mr cohen",104,"William S.","Cohen","ME","R","Cohen (ME)",52,"Maine",1,0,0,0,0
"mr coleman",108,"Norm","Coleman","MN","R","Coleman (MN)",53,"Minnesota",0,0,0,0,0
"mr coleman",109,"Norm","Coleman","MN","R","Coleman (MN)",53,"Minnesota",0,0,0,0,0
"mr coleman",110,"Norm","Coleman","MN","R","Coleman (MN)",53,"Minnesota",0,1,0,0,0
"ms collins",105,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,0,0,0,1
"ms collins",106,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,0,0,0,1
"ms collins",107,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,1,0,0,1
"ms collins",108,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,0,0,0,1
"ms collins",109,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,0,0,0,1
"ms collins",110,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,1,0,0,1
"ms collins",111,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,0,0,0,1
"ms collins",112,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,0,0,0,1
"ms collins",113,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,1,0,0,1
"mr conrad",104,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",0,0,0,0,0
"mr conrad",105,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",0,0,0,0,0
"mr conrad",106,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",0,1,0,0,0
"mr conrad",107,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",0,0,0,0,0
"mr conrad",108,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",0,0,0,0,0
"mr conrad",109,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",0,1,0,0,0
"mr conrad",110,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",0,0,0,0,0
"mr conrad",111,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",0,0,0,0,0
"mr conrad",112,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",1,0,0,0,0
"mr coons",111,"Christopher","Coons","DE","D","Coons (DE)",56,"Delaware",0,0,0,0,0
"mr coons",112,"Christopher","Coons","DE","D","Coons (DE)",56,"Delaware",0,0,0,0,0
"mr coons",113,"Christopher","Coons","DE","D","Coons (DE)",56,"Delaware",0,1,0,0,0
"mr corker",110,"Robert","Corker","TN","R","Corker (TN)",57,"Tennessee",0,0,0,0,0
"mr corker",111,"Robert","Corker","TN","R","Corker (TN)",57,"Tennessee",0,0,0,0,0
"mr corker",112,"Robert","Corker","TN","R","Corker (TN)",57,"Tennessee",0,1,0,0,0
"mr corker",113,"Robert","Corker","TN","R","Corker (TN)",57,"Tennessee",0,0,0,0,0
"mr cornyn",108,"John","Cornyn","TX","R","Cornyn (TX)",58,"Texas",0,0,0,0,0
"mr cornyn",109,"John","Cornyn","TX","R","Cornyn (TX)",58,"Texas",0,0,0,0,0
"mr cornyn",110,"John","Cornyn","TX","R","Cornyn (TX)",58,"Texas",0,1,0,0,0
"mr cornyn",111,"John","Cornyn","TX","R","Cornyn (TX)",58,"Texas",0,0,0,0,0
"mr cornyn",112,"John","Cornyn","TX","R","Cornyn (TX)",58,"Texas",0,0,0,0,0
"mr cornyn",113,"John","Cornyn","TX","R","Cornyn (TX)",58,"Texas",0,1,0,0,0
"mr corzine",107,"Jon","Corzine","NJ","D","Corzine (NJ)",59,"New Jersey",0,0,0,0,0
"mr corzine",108,"Jon","Corzine","NJ","D","Corzine (NJ)",59,"New Jersey",0,0,0,0,0
